sno,COMP_CODE,CAT_CODE,SUBJECT_CODE,COURSE_NAME,TOTAL_UNITS,LECTURE_UNITS,PRACTICAL_UNITS,STATUS,PROGRAM_CODE,CDC_DEL,CDC_YEAR,EVEN_SEM,ODD_SEM,SUMMER_TERM
463,1713,CHEM,F491,SPECIAL PROJECT,3,0,0,active,B2,DEL,0,FALSE,FALSE,FALSE
464,2437,CS,F315,INFORMATION AND COMMUNICATION TECH. AND DEV.,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
465,2439,CS,F317,REINFORCEMENT LEARNING,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
466,2440,CS,F425,DEEP LEARNING,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
467,2441,CS,F426,GRAPH MINING,4,3,1,active,A7,DEL,0,FALSE,FALSE,FALSE
468,2444,CS,F429,NATURAL LANGUAGE PROCESSING,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
469,2434,BITS,F452,BLOCKCHAIN TECHNOLOGY,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
470,2436,BITS,F454,BIO INSPIRED INTEL  ALGORITHMS AND APPLICATIONS,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
471,2448,PHY,F346,LASER SCIENCE & TECHNOLOGY,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
472,1806,BITS,F431,FLEXIBLE MANUFACTURING SYSTEMS,4,3,1,active,A4,DEL,0,FALSE,FALSE,FALSE
473,2264,BIO,F217,LAB FOR WATER SANITATION & SOLID WASTE MANAGEMENT,3,1,2,active,B1,DEL,0,FALSE,FALSE,FALSE
474,2407,ME,F319,VIBRATIONS AND CONTROL,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
475,1396,ECE,F416,DIGITAL COMMUNICATION,3,3,0,active,AA,DEL,0,FALSE,FALSE,FALSE
476,1925,ECON,F417,RISK MANAGEMENT AND INSURANCE,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
477,2184,ECON,F345,BEHAVIORAL ECONOMICS,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
478,1816,BITS,F446,PATTERN RECOGNITION,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
479,2274,PHY,F431,GEOMETRICAL METHODS IN,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
480,2288,EEE,F411,INTERNET OF THINGS,4,3,1,active,A3,DEL,0,FALSE,FALSE,FALSE
481,2190,MATH,F423,INTRODUCTION TO ALGEBRAIC TOPOLOGY,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
482,1477,MATH,F481,COMMUTATIVE ALGEBRA,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
483,2263,CHE,F498,COLLOIDS AND INTERFACE ENGINEERING,3,3,0,active,A1,DEL,0,FALSE,FALSE,FALSE
484,2397,ME,F218,ADVANCED MECHANICS OF SOLIDS,2,2,0,active,A4,CDC,2,TRUE,FALSE,FALSE
485,2398,ME,F219,MANUFACTURING PROCESSES,4,3,1,active,A4,CDC,2,TRUE,FALSE,FALSE
486,2430,ME,F220,HEAT TRANSFER,4,3,1,active,A4,DEL,2,TRUE,FALSE,FALSE
487,2399,ME,F221,MECHANISMS AND MACHINES,3,3,0,active,A4,DEL,2,TRUE,FALSE,FALSE
488,1368,BIOT,F345,PROTEOMICS,3,3,0,active,B1,DEL,0,FALSE,FALSE,FALSE
489,1882,MATH,F420,MATHEMATICAL MODELLING,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
490,2500,INSTR,F216,ELECTRONIC DEVICE SIMULATION ,2,0,2,active,A8,DEL,0,FALSE,FALSE,FALSE
491,2494,EEE,F216,ELECTRONIC DEVICE SIMULATION LAB ,2,0,2,active,A3,DEL,0,FALSE,FALSE,FALSE
492,1280,ME,F418,ROCKET AND SPACECRAFT PROPULSION,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
493,1866,ME,F482,COMBUSTION,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
494,2282,CE,F321,ENGINEERING HYDROLOGY,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
495,1436,BIO,F421,ENZYMOLOGY,3,3,0,active,B1,DEL,0,FALSE,FALSE,FALSE
496,1372,BIOT,F346,GENOMICS,3,3,0,active,B1,DEL,0,FALSE,FALSE,FALSE
